Province,Occupation,Gender,Employment
Canada,0 Legislative and senior management occupations,Total,267690
Canada,0 Legislative and senior management occupations,Men,186230
Canada,0 Legislative and senior management occupations,Women,81460
Canada,"1 Business, finance and administration occupations",Total,3557055
Canada,"1 Business, finance and administration occupations",Men,1135350
Canada,"1 Business, finance and administration occupations",Women,2421705
Canada,2 Natural and applied sciences and related occupations,Total,1666685
Canada,2 Natural and applied sciences and related occupations,Men,1257790
Canada,2 Natural and applied sciences and related occupations,Women,408895
Canada,21301 Mechanical engineers,Total,58690
Canada,21301 Mechanical engineers,Men,52355
Canada,21301 Mechanical engineers,Women,6335
Canada,21310 Electrical and electronics engineers,Total,47890
Canada,21310 Electrical and electronics engineers,Men,41985
Canada,21310 Electrical and electronics engineers,Women,5905
Canada,21311 Computer engineers (except software engineers and designers),Total,26730
Canada,21311 Computer engineers (except software engineers and designers),Men,23415
Canada,21311 Computer engineers (except software engineers and designers),Women,3315
Canada,3 Health occupations,Total,1601710
Canada,3 Health occupations,Men,315180
Canada,3 Health occupations,Women,1286535
Canada,31301 Registered nurses and registered psychiatric nurses,Total,346095
Canada,31301 Registered nurses and registered psychiatric nurses,Men,32870
Canada,31301 Registered nurses and registered psychiatric nurses,Women,313225
Canada,31302 Nurse practitioners,Total,6785
Canada,31302 Nurse practitioners,Men,570
Canada,31302 Nurse practitioners,Women,6220
Canada,32101 Licensed practical nurses,Total,78340
Canada,32101 Licensed practical nurses,Men,8090
Canada,32101 Licensed practical nurses,Women,70250
Canada,"33102 Nurse aides, orderlies and patient service associates",Total,380320
Canada,"33102 Nurse aides, orderlies and patient service associates",Men,53690
Canada,"33102 Nurse aides, orderlies and patient service associates",Women,326630
Canada,"4 Occupations in education, law and social, community and government services",Total,2532170
Canada,"4 Occupations in education, law and social, community and government services",Men,816725
Canada,"4 Occupations in education, law and social, community and government services",Women,1715450
Canada,40040 Commissioned police officers and related occupations in public protection services,Total,2240
Canada,40040 Commissioned police officers and related occupations in public protection services,Men,1610
Canada,40040 Commissioned police officers and related occupations in public protection services,Women,640
Canada,4131 Police investigators and probation officers,Total,9100
Canada,4131 Police investigators and probation officers,Men,3900
Canada,4131 Police investigators and probation officers,Women,5200
Canada,41310 Police investigators and other investigative occupations,Total,3670
Canada,41310 Police investigators and other investigative occupations,Men,2570
Canada,41310 Police investigators and other investigative occupations,Women,1100
Canada,42100 Police officers (except commissioned),Total,75200
Canada,42100 Police officers (except commissioned),Men,57145
Canada,42100 Police officers (except commissioned),Women,18050
Canada,42101 Firefighters,Total,34795
Canada,42101 Firefighters,Men,32810
Canada,42101 Firefighters,Women,1985
Canada,"5 Occupations in art, culture, recreation and sport",Total,697260
Canada,"5 Occupations in art, culture, recreation and sport",Men,319920
Canada,"5 Occupations in art, culture, recreation and sport",Women,377340
Canada,6 Sales and service occupations,Total,5226370
Canada,6 Sales and service occupations,Men,2316525
Canada,6 Sales and service occupations,Women,2909845
Canada,"7 Trades, transport and equipment operators and related occupations",Total,3526800
Canada,"7 Trades, transport and equipment operators and related occupations",Men,3204945
Canada,"7 Trades, transport and equipment operators and related occupations",Women,321855
Canada,"8 Natural resources, agriculture and related production occupations",Total,617425
Canada,"8 Natural resources, agriculture and related production occupations",Men,472910
Canada,"8 Natural resources, agriculture and related production occupations",Women,144515
Canada,9 Occupations in manufacturing and utilities,Total,937355
Canada,9 Occupations in manufacturing and utilities,Men,664465
Canada,9 Occupations in manufacturing and utilities,Women,272895
Newfoundland and Labrador,0 Legislative and senior management occupations,Total,2180
Newfoundland and Labrador,0 Legislative and senior management occupations,Men,1270
Newfoundland and Labrador,0 Legislative and senior management occupations,Women,915
Newfoundland and Labrador,"1 Business, finance and administration occupations",Total,35440
Newfoundland and Labrador,"1 Business, finance and administration occupations",Men,9400
Newfoundland and Labrador,"1 Business, finance and administration occupations",Women,26045
Newfoundland and Labrador,2 Natural and applied sciences and related occupations,Total,16165
Newfoundland and Labrador,2 Natural and applied sciences and related occupations,Men,12580
Newfoundland and Labrador,2 Natural and applied sciences and related occupations,Women,3585
Newfoundland and Labrador,21301 Mechanical engineers,Total,565
Newfoundland and Labrador,21301 Mechanical engineers,Men,495
Newfoundland and Labrador,21301 Mechanical engineers,Women,70
Newfoundland and Labrador,21310 Electrical and electronics engineers,Total,455
Newfoundland and Labrador,21310 Electrical and electronics engineers,Men,420
Newfoundland and Labrador,21310 Electrical and electronics engineers,Women,35
